onet_soc_code,spe_ocupacion,similarity_score
13-1161.01,"Asistentes de Mercadeo, Publicidad y Comunicaciones",0.39701210839944007
13-1161.01,"Analistas, Asesores y Agentes de Mercado Financiero",0.375354230257901
13-1161.01,"Gerentes de Ventas, Mercadeo y Publicidad",0.3590589085387206
13-1199.00,Ayudantes de Otros Oficios,0.5285960974568775
13-1199.00,Gerentes de Otros Servicios a las Empresas,0.5136814299502777
13-1199.00,Operadores de Equipo Pesado (excepto grúa),0.5124980730831091
13-1199.04,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.4382004266450379
13-1199.04,"Gerentes de Seguros, Bienes Raíces y Corretaje Financiero",0.38191001857063994
13-1199.04,"Supervisores y coordinadores de procesos de negocio, Empleados de información y servicio al cliente",0.3818748268289678
13-1199.05,Profesionales en Organización y Administración de las Empresas,0.4665505054616453
13-1199.05,Representante de servicios especializados,0.4434631373723894
13-1199.05,Administradores Ambientales,0.43678675518675525
13-1199.06,Vendedores de Mostrador,0.4294651505977926
13-1199.06,Auxiliares de Compras e Inventarios,0.37988738215314066
13-1199.06,Administradores y Supervisores de Comercio al Por Menor,0.37335233211237456
13-1199.07,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.5059666862078679
13-1199.07,Vigilantes y Guardias de Seguridad,0.4892885900908549
13-1199.07,Supervisores de Vigilantes,0.45390233694697696
13-2011.00,Auditores Financieros y Contables,0.6293145975686155
13-2011.00,"Auxiliares Contables, de Tesorería y Financieros",0.5370597413367403
13-2011.00,Asistentes Contables,0.5080795002574284
13-2022.00,Avaluadores,0.5063604342450005
13-2022.00,Ensambladores e Inspectores de Muebles y Accesorios,0.440009844219916
13-2022.00,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.43077499867672664
13-2023.00,Avaluadores,0.5325370547002705
13-2023.00,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.49033901250356043
13-2023.00,Auditores Financieros y Contables,0.4282173602395408
13-2031.00,Auditores Financieros y Contables,0.48761356026507857
13-2031.00,"Analistas de Calidad, Textiles",0.48484516029544816
13-2031.00,Asistentes Contables,0.4702294935808153
13-2041.00,"Analistas, Asistentes y Asesores de Servicios Financieros",0.5102630259898291
13-2041.00,"Analistas, Asesores y Agentes de Mercado Financiero",0.5065352041145368
13-2041.00,"Analistas de Calidad, Textiles",0.47063191269058546
13-2051.00,"Analistas, Asesores y Agentes de Mercado Financiero",0.5418907806371651
13-2051.00,"Analistas, Asistentes y Asesores de Servicios Financieros",0.5257378901728781
13-2051.00,"Consultores, Investigadores y Analistas de Política Económica",0.5125454613393005
13-2052.00,Asistentes Financieros,0.5466367842704727
13-2052.00,"Analistas, Asistentes y Asesores de Servicios Financieros",0.47680567837549076
13-2052.00,"Analistas, Asesores y Agentes de Mercado Financiero",0.4765600763999863
13-2053.00,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.5623960335525091
13-2053.00,Agentes y Corredores de Seguros,0.4852068683797532
13-2053.00,Avaluadores,0.4388906954192816
13-2054.00,"Analistas, Asesores y Agentes de Mercado Financiero",0.5948331795796726
13-2054.00,"Analistas, Asistentes y Asesores de Servicios Financieros",0.5530095278820968
13-2054.00,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.5311713175738524
13-2061.00,Auditores Financieros y Contables,0.5175606498519346
13-2061.00,Jefes y supervisores de entidades financieras,0.48954101682537915
13-2061.00,Ensambladores e Inspectores de Aparatos y Equipo Eléctrico,0.4709096768263933
13-2071.00,Asistentes Financieros,0.48029160668295867
13-2071.00,Consejeros de Servicios de Empleo,0.43796318165347625
13-2071.00,"Analistas, Asistentes y Asesores de Servicios Financieros",0.43543599007013567
13-2072.00,"Analistas, Asistentes y Asesores de Servicios Financieros",0.5235533871298863
13-2072.00,"Analistas, Asesores y Agentes de Mercado Financiero",0.5048129787161924
13-2072.00,Asistentes Financieros,0.484375694722583
13-2081.00,Auxiliares de Cartera y Cobranzas,0.49152211806141943
13-2081.00,Auditores Financieros y Contables,0.46420562867265686
13-2081.00,Agentes de Aduana,0.46027272256982077
13-2082.00,Asistentes Contables,0.5181175166284726
13-2082.00,Panaderos y Pasteleros,0.49735298148700613
13-2082.00,Asistentes Financieros,0.4860153899586534
13-2099.00,"Analistas, Asesores y Agentes de Mercado Financiero",0.5684843481734824
13-2099.00,Asistentes Financieros,0.5353185404855754
13-2099.00,"Analistas, Asistentes y Asesores de Servicios Financieros",0.5316020738938514
13-2099.01,"Analistas, Asesores y Agentes de Mercado Financiero",0.5472241605411138
13-2099.01,"Analistas, Asistentes y Asesores de Servicios Financieros",0.49887140653842815
13-2099.01,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.46382905874213437
13-2099.04,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.49811064379796793
13-2099.04,Investigadores criminalísticos y judiciales,0.4975560253297405
13-2099.04,"Analistas, Asistentes y Asesores de Servicios Financieros",0.49259755924663956
15-1211.00,Analistas de Sistemas Informáticos,0.5718860068727797
15-1211.00,Gerentes de Sistemas de Información y Procesamiento de Datos,0.4508752121371232
15-1211.00,"Analistas, Asistentes y Asesores de Servicios Financieros",0.4081614775955892
15-1211.01,Analistas de Sistemas Informáticos,0.4875352752203044
15-1211.01,Auxiliares administrativos en Salud,0.47419463308711096
15-1211.01,Gerentes de Sistemas de Información y Procesamiento de Datos,0.46611154877421956
15-1212.00,Analistas de Sistemas Informáticos,0.558773943548504
15-1212.00,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.44368978767550543
15-1212.00,"Analistas, Asesores y Agentes de Mercado Financiero",0.4168095986160578
15-1221.00,Analistas de Sistemas Informáticos,0.46375505492230823
15-1221.00,Investigadores criminalísticos y judiciales,0.4626378944982764
15-1221.00,Gerentes de Investigación y Desarrollo en Ciencias Naturales y Aplicadas,0.46000762765599545
15-1231.00,"Auxiliares técnicos de instalación, mantenimiento y reparación de sistemas de Telecomunicaciones",0.4621641545860943
15-1231.00,Analistas de Sistemas Informáticos,0.4504916769475937
15-1231.00,Técnicos instaladores de Redes y Líneas de Telecomunicaciones,0.4486305463098803
15-1232.00,Técnicos en Asistencia y Soporte de Tecnologías de la Información,0.4885397955938068
15-1232.00,Auxiliares de Información y Servicio al Cliente,0.47380692801
15-1232.00,"Auxiliares técnicos de instalación, mantenimiento y reparación de sistemas de Telecomunicaciones",0.42834083267568684
15-1241.00,Técnicos instaladores de Redes y Líneas de Telecomunicaciones,0.4499040175288594
15-1241.00,Arquitectos,0.4378221304632189
15-1241.00,Analistas de Sistemas Informáticos,0.430119265352944
15-1241.01,Ingenieros  de Telecomunicaciones,0.629179243164414
15-1241.01,"Auxiliares técnicos de instalación, mantenimiento y reparación de sistemas de Telecomunicaciones",0.5927691497985216
15-1241.01,Técnicos instaladores de Redes y Líneas de Telecomunicaciones,0.5794795190477167
15-1242.00,Asistentes Administrativos,0.42074741877088534
15-1242.00,Administradores de Servicios de Tecnologías de la Información,0.41393672350251964
15-1242.00,Auxiliares Administrativos,0.4107289357891847
15-1243.00,Arquitectos,0.4896775842699232
15-1243.00,Gerentes de Sistemas de Información y Procesamiento de Datos,0.3943530325324641
15-1243.00,Analistas de Sistemas Informáticos,0.3863682186453151
15-1243.01,Representante de servicios especializados,0.45878628362340396
15-1243.01,Gerentes de Sistemas de Información y Procesamiento de Datos,0.4564332772068689
15-1243.01,"Supervisores y coordinadores de procesos de negocio, Empleados de información y servicio al cliente",0.43306464683457824
15-1244.00,Técnicos instaladores de Redes y Líneas de Telecomunicaciones,0.47648818584509317
15-1244.00,Administradores de Servicios de Tecnologías de la Información,0.4720128356633288
