esco_uri,spe_ocupacion,similarity_score
http://data.europa.eu/esco/occupation/02f26b2f-879c-4811-8381-65e8dd3f4a16,Operadores de Máquinas y Trabajadores Relacionados con la Fabricación de Calzado y Marroquinería,0.4548910387008708
http://data.europa.eu/esco/occupation/02f26b2f-879c-4811-8381-65e8dd3f4a16,"Analistas de Calidad, Textiles",0.4107685244003662
http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,Instaladores de Tuberías para Sistemas de Extinción de Incendios,0.6967150354326912
http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,Instaladores de Redes y Equipos a Gas,0.5063439231320145
http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,Inspectores de Sistemas e Instalaciones de Gas,0.49702614798409406
http://data.europa.eu/esco/occupation/032d4115-03ec-49c9-853d-678f8a41969b,Gerentes de Empresas de Telecomunicaciones,0.5025288546114457
http://data.europa.eu/esco/occupation/032d4115-03ec-49c9-853d-678f8a41969b,Gerentes de Transporte y Distribución,0.476158150549677
http://data.europa.eu/esco/occupation/032d4115-03ec-49c9-853d-678f8a41969b,"Supervisores de Almacenamiento, Inventario y  Distribución",0.4712339310010174
http://data.europa.eu/esco/occupation/034cad59-e666-4770-a7ef-a337257f8072,Instructores y Profesores de Personas en Condición de Discapacidad,0.5425735188255078
http://data.europa.eu/esco/occupation/034cad59-e666-4770-a7ef-a337257f8072,Profesores de Educación Básica Secundaria y Media,0.4855643092854854
http://data.europa.eu/esco/occupation/034cad59-e666-4770-a7ef-a337257f8072,Profesores e Instructores de Formación para el Trabajo,0.41767418311970606
http://data.europa.eu/esco/occupation/03632d98-0ae3-4dd2-941c-3b48de9a0219,"Productores, Directores Artísticos, Coreógrafos y Ocupaciones Relacionadas",0.5463502019357545
http://data.europa.eu/esco/occupation/03632d98-0ae3-4dd2-941c-3b48de9a0219,Auxiliares de Producción de Eventos y Espectáculos,0.537937584355713
http://data.europa.eu/esco/occupation/03632d98-0ae3-4dd2-941c-3b48de9a0219,Coordinadores y Productores de Eventos y Espectáculos,0.5250219570074036
http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,Gerentes de Producción Industrial,0.49084548121797117
http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,Supervisores de Fabricación de Otros Productos Mecánicos y Metálicos,0.4819330550477329
http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,Operadores de Máquinas para el Trabajo del Metal,0.4780066805676214
http://data.europa.eu/esco/occupation/036dc42f-bd4d-4533-a3cc-fcd313227ce3,Ensambladores e Inspectores de Ensamble de Aeronaves,0.533092478980187
http://data.europa.eu/esco/occupation/036dc42f-bd4d-4533-a3cc-fcd313227ce3,Ensambladores e Inspectores de Productos Mecánicos,0.4833014518118889
http://data.europa.eu/esco/occupation/036dc42f-bd4d-4533-a3cc-fcd313227ce3,"Ensambladores, Fabricantes e Inspectores de Transformadores y Motores Eléctricos Industriales",0.46148083015831665
http://data.europa.eu/esco/occupation/03b2f112-a891-461d-a8d4-effb9dcf2df6,Supervisores de Minería y Canteras,0.5641145665938194
http://data.europa.eu/esco/occupation/03b2f112-a891-461d-a8d4-effb9dcf2df6,Perforadores y Operarios de Voladura para Minería de Superficie de Canteras y Construcción,0.5631802712261357
http://data.europa.eu/esco/occupation/03b2f112-a891-461d-a8d4-effb9dcf2df6,Ingenieros de Minas,0.5317490738712027
http://data.europa.eu/esco/occupation/03b55cb5-9735-4582-8e20-2b1cb76635cb,Gerentes de Empresas de Telecomunicaciones,0.4881720455408616
http://data.europa.eu/esco/occupation/03b55cb5-9735-4582-8e20-2b1cb76635cb,Gerentes de Restaurantes y Servicios de Alimentos,0.46657060935909145
http://data.europa.eu/esco/occupation/03b55cb5-9735-4582-8e20-2b1cb76635cb,Gerentes de Comercio al Por Menor,0.4636470471063977
http://data.europa.eu/esco/occupation/03b9d7c4-9590-4e0d-97a7-470254e165d4,Vendedores de Mostrador,0.49417745226888127
http://data.europa.eu/esco/occupation/03b9d7c4-9590-4e0d-97a7-470254e165d4,Vendedores de Ventas no Técnicas,0.49112232388013854
