uri,nombre,nombres_alternativos,nombres_ocultos,codigo_isco,codigo_nace,definicion,nota_profesion_regulada,nota_alcance,esquema
http://data.europa.eu/esco/occupation/778c1d37-69f2-4184-ac98-03b7dbfba332,ingeniero fotónico/ingeniera fotónica,"ingeniera fotónica
ingeniero fotónico",,2149,"http://data.europa.eu/ux2/nace2.1/721,
http://data.europa.eu/ux2/nace2.1/7112,
http://data.europa.eu/ux2/nace2.1/2611,
http://data.europa.eu/ux2/nace2.1/267",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/8ae4b9f3-507e-4057-a145-2f96f0132613,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f,director de asuntos reglamentarios/directora de asuntos reglamentarios,"director de asuntos reglamentarios
directora de asuntos reglamentarios",,2619,"http://data.europa.eu/ux2/nace2.1/691,
http://data.europa.eu/ux2/nace2.1/701",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/77a05858-f682-4648-baa5-9b86deeffbc1,operador de maquinaria para muebles de madera/operadora de maquinaria para muebles de madera,"operador de maquinaria para muebles de madera
operadora de maquinaria para muebles de madera",,7523,http://data.europa.eu/ux2/nace2.1/31,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/77a25ee0-94ad-443e-91ea-3e6d3506181b,operador de máquina roscadora/operadora de máquina roscadora,"técnico de máquina roscadora
operadora de máquina roscadora
operador de máquina roscadora
técnica de máquina roscadora",,7223,http://data.europa.eu/ux2/nace2.1/2841,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/77abfaec-a250-4765-95fa-6091e8da1bba,ingeniero electromecánico/ingeniera electromecánica,"ingeniero electromecánico
ingeniera electromecánica",,2151,"http://data.europa.eu/ux2/nace2.1/7112,
http://data.europa.eu/ux2/nace2.1/2611,
http://data.europa.eu/ux2/nace2.1/H,
http://data.europa.eu/ux2/nace2.1/303,
http://data.europa.eu/ux2/nace2.1/3091,
http://data.europa.eu/ux2/nace2.1/2899,
http://data.europa.eu/ux2/nace2.1/2651,
http://data.europa.eu/ux2/nace2.1/279,
http://data.europa.eu/ux2/nace2.1/2822,
http://data.europa.eu/ux2/nace2.1/271,
http://data.europa.eu/ux2/nace2.1/2931,
http://data.europa.eu/ux2/nace2.1/3092,
http://data.europa.eu/ux2/nace2.1/2751",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/8ae4b9f3-507e-4057-a145-2f96f0132613,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/77bfd6e7-5598-4818-84cb-31e2651eb046,diseñador de moda/diseñadora de moda,"diseñador de calzado
diseñadora de calzado
diseñador textil
diseñadora textil
diseñadora de moda
experto en diseño de moda
diseñadora de accesorios
diseñador de moda
diseñador de accesorios
estilista de moda
experta en diseño de moda",,2163,"http://data.europa.eu/ux2/nace2.1/7411,
http://data.europa.eu/ux2/nace2.1/14",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/77de6c7d-27bf-4bc2-8c80-5d6f6d9811f4,técnico de reprografía/técnica de reprografía,"técnica de reprografía
técnico de reprografía",,7322,http://data.europa.eu/ux2/nace2.1/1813,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/7819669b-30c2-42e6-a1c4-0bcd6f0379ff,responsable de políticas de relaciones internacionales,,,2422,"http://data.europa.eu/ux2/nace2.1/8411,
http://data.europa.eu/ux2/nace2.1/990,
http://data.europa.eu/ux2/nace2.1/8421",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/781a6350-e686-45b9-b075-e4c8d5a05ff7,desarrollador de software en la nube/desarrolladora de software en la nube,"administrador de la nube
ingeniera de software de nube de pila completa
especialista técnico en la nube
especialista en infraestructura de la nube
desarrolladora de software en la nube
ingeniero de software de nube de pila completa
especialista en soluciones en la nube
desarrollador de software en la nube
infraestructura en la nube es especialista
especialista en implementación de la nube
especialista en despliegue en la nube",,2512,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/78216000-edc1-474b-9569-28ed6a657da2,especialista en edición electrónica,,,2166,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/581,
http://data.europa.eu/ux2/nace2.1/1812",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
