periodo,ano,mes,DPTO,empleo,informales,tasa_informalidad
2024-12,2024,12,52,824969.8331510948,687707.381924768,83.36
2024-12,2024,12,54,703586.1350647201,503771.90194516,71.6
2024-12,2024,12,63,267338.75204676,148344.09193948598,55.49
2024-12,2024,12,66,434001.39414234506,183369.01518712498,42.25
2024-12,2024,12,68,1037524.45721005,553435.8787525799,53.34
2024-12,2024,12,70,406728.665717165,334912.92003659,82.34
2024-12,2024,12,73,621914.948995,443878.54435805,71.37
2024-12,2024,12,76,2042933.872804325,1178715.920382443,57.7
2024-12,2024,12,81,33620.220195938,23707.624676462,70.52
2024-12,2024,12,85,86374.75485278999,50859.25981761,58.88
2024-12,2024,12,86,16510.636201315,9177.743791957999,55.59
2024-12,2024,12,88,21525.301261467997,4969.296470085,23.09
2024-12,2024,12,91,15879.128876491,12956.054607313003,81.59
2024-12,2024,12,94,8615.435081339998,7272.065274356,84.41
2024-12,2024,12,95,24054.410046968995,16863.730829485,70.11
2024-12,2024,12,97,4738.666164263,1655.0326687860002,34.93
2024-12,2024,12,99,7912.174110838,4750.118074364,60.04
2025-01,2025,1,5,3317929.8239358068,1370483.0001094593,41.31
2025-01,2025,1,8,1241213.746425617,772876.870589653,62.27
2025-01,2025,1,11,4205841.02955083,1471368.96465321,34.98
2025-01,2025,1,13,912126.2468825001,651016.16764459,71.37
2025-01,2025,1,15,499445.943025622,348076.783857898,69.69
2025-01,2025,1,17,457232.175589435,242696.82285813603,53.08
2025-01,2025,1,18,158686.662373679,121644.62213986201,76.66
2025-01,2025,1,19,702941.3361703719,568586.689242776,80.89
2025-01,2025,1,20,483701.01704997,343905.370685225,71.1
2025-01,2025,1,23,768247.106903828,627297.781720225,81.65
2025-01,2025,1,25,1661109.990216047,627470.867387215,37.77
2025-01,2025,1,27,110082.348889167,91758.922877611,83.35
2025-01,2025,1,41,454570.19228208205,318625.10270720994,70.09
2025-01,2025,1,44,378696.55916620896,327055.74171954097,86.36
2025-01,2025,1,47,576242.7397987349,402341.969705294,69.82
2025-01,2025,1,50,520668.56489011995,309930.86274362,59.53
2025-01,2025,1,52,846683.72469985,716538.249003169,84.63
2025-01,2025,1,54,632739.5366821601,456402.95442127,72.13
2025-01,2025,1,63,249408.296724646,138538.24138020602,55.55
2025-01,2025,1,66,439610.55487446196,195603.09728231299,44.49
2025-01,2025,1,68,1069925.263435364,619450.9420949,57.9
2025-01,2025,1,70,409452.95829126897,342953.52343705704,83.76
2025-01,2025,1,73,591436.1683168,420470.58184753,71.09
2025-01,2025,1,76,2011843.108232908,997622.8162392579,49.59
2025-01,2025,1,81,33505.84874832,22753.645846560004,67.91
2025-01,2025,1,85,77845.28201914,37790.43592199,48.55
2025-01,2025,1,86,16277.243446123,8088.861544289,49.69
2025-01,2025,1,88,18282.522509598,4877.8732040039995,26.68
2025-01,2025,1,91,14684.232338634,10756.287401357,73.25
2025-01,2025,1,94,8735.465545250998,6767.530435809999,77.47
2025-01,2025,1,95,21704.025818767994,11000.243558424001,50.68
2025-01,2025,1,97,4643.865342692,2211.247674233,47.62
2025-01,2025,1,99,7321.130773725,3503.4202894709997,47.85
2025-02,2025,2,5,3358799.793142032,1569165.780743537,46.72
2025-02,2025,2,8,1217757.969909781,725410.657714085,59.57
2025-02,2025,2,11,4307600.66753653,1503161.5711110102,34.9
2025-02,2025,2,13,900338.3674736901,678393.0183254799,75.35
2025-02,2025,2,15,520840.15501327603,345616.667162018,66.36
2025-02,2025,2,17,477492.647218036,237635.700429668,49.77
2025-02,2025,2,18,154335.083778057,119243.336148624,77.26
2025-02,2025,2,19,753725.2101738689,639025.346533821,84.78
2025-02,2025,2,20,495181.98930967005,348410.845471975,70.36
2025-02,2025,2,23,822327.675993565,716013.4236647671,87.07
2025-02,2025,2,25,1668329.075733156,829409.1189304029,49.71
2025-02,2025,2,27,121408.440359427,96785.29851527199,79.72
2025-02,2025,2,41,475903.695697326,370712.02224034106,77.9
2025-02,2025,2,44,350914.919707266,296184.328529761,84.4
2025-02,2025,2,47,626640.755395224,481559.47623671603,76.85
2025-02,2025,2,50,538928.901238436,337720.46095934405,62.67
2025-02,2025,2,52,930305.797685435,803773.9448531929,86.4
2025-02,2025,2,54,689259.64636167,460452.70291797,66.8
2025-02,2025,2,63,261913.79413845701,142435.58129915397,54.38
2025-02,2025,2,66,448118.541342912,203923.822792575,45.51
2025-02,2025,2,68,1054147.1657272778,591209.536412696,56.08
2025-02,2025,2,70,430802.525397949,356790.13500442496,82.82
2025-02,2025,2,73,584545.09246059,375421.56165416003,64.22
2025-02,2025,2,76,2068385.7272005621,1060270.56113607,51.26
2025-02,2025,2,81,34346.243552440006,19690.471150949998,57.33
2025-02,2025,2,85,80866.86556069,42547.86571376,52.61
2025-02,2025,2,86,16918.690240177,8674.453882344,51.27
2025-02,2025,2,88,20496.553832984,5876.682806705,28.67
2025-02,2025,2,91,16169.524451842995,8378.146769625,51.81
2025-02,2025,2,94,8850.387477209,5106.419540423,57.7
2025-02,2025,2,95,21787.906976673,14234.369994907001,65.33
2025-02,2025,2,97,4762.8860119859,2613.4382479342,54.87
2025-02,2025,2,99,7274.333212793999,3697.9913630910005,50.84
2025-03,2025,3,5,3357624.590544128,1675411.647659093,49.9
2025-03,2025,3,8,1289263.0176832299,750782.170068704,58.23
2025-03,2025,3,11,4278720.61190393,1642647.60109902,38.39
2025-03,2025,3,13,983327.86870418,728648.55311665,74.1
2025-03,2025,3,15,555927.555485093,382008.594339677,68.72
2025-03,2025,3,17,434031.75013881,212246.45586572797,48.9
2025-03,2025,3,18,160201.024206782,114694.96929419701,71.59
2025-03,2025,3,19,643120.6640511439,531741.839234591,82.68
2025-03,2025,3,20,538995.30033302,376759.573576974,69.9
2025-03,2025,3,23,822332.8916510849,638881.0744274291,77.69
2025-03,2025,3,25,1784849.4370978011,734101.2725774479,41.13
2025-03,2025,3,27,125188.28391963699,93347.858063183,74.57
2025-03,2025,3,41,481094.122186461,358898.462191227,74.6
2025-03,2025,3,44,362185.093105713,298555.752773265,82.43
2025-03,2025,3,47,610930.8958006559,480169.558660986,78.6
2025-03,2025,3,50,529371.11135413,325720.42090713,61.53
2025-03,2025,3,52,950553.923330952,791742.5275207849,83.29
2025-03,2025,3,54,674265.42195597,459734.84838206,68.18
2025-03,2025,3,63,265327.793993979,134216.969607631,50.59
2025-03,2025,3,66,453309.67691074894,214638.849423852,47.35
2025-03,2025,3,68,1077832.369486542,593648.514355852,55.08
2025-03,2025,3,70,413894.37574940297,354299.503724555,85.6
2025-03,2025,3,73,590487.97124896,425969.49801188,72.14
2025-03,2025,3,76,2105316.6079795826,1077312.752273073,51.17
2025-03,2025,3,81,35052.98671397999,23213.25498087,66.22
2025-03,2025,3,85,81571.97909901998,42495.37032416001,52.1
2025-03,2025,3,86,15883.188254739001,9714.726569755998,61.16
2025-03,2025,3,88,19637.650470914,5218.135234408,26.57
2025-03,2025,3,91,18202.456051310997,9805.156115816002,53.87
2025-03,2025,3,94,8939.750218785,5973.638654176,66.82
2025-03,2025,3,95,21823.166103871,15306.923500213003,70.14
2025-03,2025,3,97,5557.7835661409,2960.9021681000004,53.27
2025-03,2025,3,99,7571.997765155999,4936.653263837001,65.2
2025-04,2025,4,5,3330688.714201072,1564507.846041503,46.97
2025-04,2025,4,8,1280807.319889006,737987.798969937,57.62
2025-04,2025,4,11,4254870.98443458,1218499.29859349,28.64
2025-04,2025,4,13,878636.20667796,603296.64141205,68.66
2025-04,2025,4,15,487589.094155785,265706.84833191696,54.49
2025-04,2025,4,17,464873.00495134504,210949.300619268,45.38
2025-04,2025,4,18,164095.150941944,126618.02815239999,77.16
2025-04,2025,4,19,720959.7025484671,570016.100943333,79.06
2025-04,2025,4,20,508337.77502345,377754.252866818,74.31
2025-04,2025,4,23,889330.5059556607,759872.8516678481,85.44
2025-04,2025,4,25,1767437.493331129,775486.235888551,43.88
2025-04,2025,4,27,134212.776545935,109360.73416954902,81.48
2025-04,2025,4,41,456388.807112179,345518.17537164805,75.71
2025-04,2025,4,44,366887.83009497996,305706.90252273995,83.32
2025-04,2025,4,47,623605.05989552,468240.61694966996,75.09
2025-04,2025,4,50,492300.97681018,291929.84856251,59.3
2025-04,2025,4,52,905241.611805734,747431.2527792,82.57
2025-04,2025,4,54,683245.99053671,498261.35614042,72.93
2025-04,2025,4,63,274318.554665104,150005.926618013,54.68
2025-04,2025,4,66,460421.159935744,233106.285884251,50.63
2025-04,2025,4,68,1039830.3055699359,577637.8653560029,55.55
2025-04,2025,4,70,415556.685132693,335106.173469034,80.64
2025-04,2025,4,73,619175.50774816,413885.98297871,66.84
2025-04,2025,4,76,2143685.705894901,990494.5213016459,46.21
2025-04,2025,4,81,35012.301823644004,18035.897761408,51.51
2025-04,2025,4,85,77937.32738882999,35235.202255159995,45.21
2025-04,2025,4,86,16620.427760407,6675.202142117,40.16
2025-04,2025,4,88,21873.787428144,5785.456574040999,26.45
2025-04,2025,4,91,16129.534299246996,10159.104070304002,62.98
2025-04,2025,4,94,8767.407016303001,4750.346510371999,54.18
2025-04,2025,4,95,23755.500734137,15719.720138185003,66.17
2025-04,2025,4,97,5444.633467633001,2924.0838304609993,53.71
2025-04,2025,4,99,8040.683022787,5056.508590979,62.89
2025-05,2025,5,5,3258144.96965301,1298240.273215679,39.85
2025-05,2025,5,8,1264862.649184652,760601.6888758179,60.13
2025-05,2025,5,11,4239342.59760431,1555025.2224124102,36.68
2025-05,2025,5,13,903708.8124854001,613403.02825887,67.88
2025-05,2025,5,15,586123.2937747149,341355.287567995,58.24
2025-05,2025,5,17,507042.64910300897,268246.137120794,52.9
2025-05,2025,5,18,165644.910503838,129536.498036324,78.2
2025-05,2025,5,19,729656.155411745,598166.78398971,81.98
2025-05,2025,5,20,550278.079981461,419277.735657011,76.19
2025-05,2025,5,23,817649.0097435339,622116.819701234,76.09
2025-05,2025,5,25,1674552.0568683879,645381.972397774,38.54
2025-05,2025,5,27,145666.038264458,123789.615996583,84.98
2025-05,2025,5,41,511894.18334128504,396735.797341857,77.5
2025-05,2025,5,44,368623.96706924704,309183.086534332,83.87
2025-05,2025,5,47,601486.202983228,457526.356920464,76.07
2025-05,2025,5,50,559714.25191957,320027.70563959,57.18
2025-05,2025,5,52,878116.581806905,710689.6052722591,80.93
2025-05,2025,5,54,704629.67236915,490461.14689415,69.61
2025-05,2025,5,63,251916.584127359,126244.390913905,50.11
2025-05,2025,5,66,476619.533786327,227084.883883994,47.64
2025-05,2025,5,68,1052719.5568104698,555349.31843659,52.75
2025-05,2025,5,70,407858.62534234603,333877.720198775,81.86
2025-05,2025,5,73,655571.15068273,450578.73396816,68.73
2025-05,2025,5,76,2094260.6294623548,1070924.6573149222,51.14
2025-05,2025,5,81,40143.314831514,22427.343453422,55.87
2025-05,2025,5,85,78751.44561699999,38801.77793276999,49.27
2025-05,2025,5,86,17370.867196799,9571.212807696,55.1
