uri,nombre,definicion,tipo_habilidad,nivel_reutilizacion
http://data.europa.eu/esco/skill/0a776a56-6ec1-4790-84b3-46d0be706806,utilizar la navegación con radar,Utilizar equipos modernos de navegación con radar para garantizar la seguridad de las operaciones de los buques.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/0a856d55-23b5-4bdc-ad24-3eb5bc83d81f,aplicar la planificación de rutas en los servicios de movilidad inteligente,"Utilizar motores de búsqueda especializados como planificadores de rutas o viajes para proponer itinerarios de desplazamiento optimizados tomando como base varios criterios, como el medio de transporte, el tiempo de salida y de llegada, la ubicación o la duración del trayecto.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,gestión de proyectos basada en metodologías ágiles,"El enfoque de gestión de proyectos basada en metodologías ágiles es una metodología para planificar, gestionar y supervisar los recursos de las TIC a fin de cumplir objetivos específicos y utilizar herramientas de gestión de proyectos de las TIC.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0aabcae7-71de-456e-8e38-d9e40a4e0272,sistemas eléctricos de señalización modernos,Los modernos sistemas de señalización y la aplicación de tecnologías digitales para mejorar el funcionamiento de los equipos de señalización.,knowledge,sector-specific
http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,herramientas del sistema de gestión de red,"El software o las herramientas de hardware que permiten el seguimiento, el análisis y la supervisión de componentes de red individuales o de partes de la red en un sistema de red más amplio.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26,utilizar lenguajes de marcado,"Utilizar lenguajes informáticos que se distingan sintácticamente del texto, para añadir notas a un documento, especificar tipos de presentación y proceso de documentos, como el HTML.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0b0335f3-0aa1-491e-895e-81fc8774a300,desarrollar métodos de migración automatizada,"Crear una transferencia automatizada de información de las TIC entre los distintos tipos, formatos y sistemas de almacenamiento para ahorrar recursos humanos de la ejecución de la tarea manual.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0b449eb1-d082-4e62-95d7-5cf59bdf2097,utilizar ayudas de navegación electrónicas modernas,"Utilizar ayudas de navegación modernas, tales como GPS y sistemas de radar.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0ba0717c-3a7a-45a3-834c-59c554e56c72,implementar fórmulas en procesos de producción,"Traducir, por medio de modelos y simulaciones informáticos, las fórmulas y los resultados de laboratorio específicos en procesos de producción.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0c66036a-3bdd-4955-8343-985f4697af64,gestionar la base de datos de donantes,Crear y actualizar constantemente la base de datos que contiene los datos personales y la situación de los donantes.,skill/competence,cross-sector
http://data.europa.eu/esco/skill/0c9f20cb-32fb-4ff7-877e-508762791151,RAGE (sistemas de creación de juegos digitales),"El marco de software que consiste en entornos de desarrollo integrados y herramientas de diseño especializadas, diseñadas para la iteración rápida de juegos de ordenador derivados del usuario.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0cc02ab5-da14-4fd4-963d-192fe71d3225,evaluar sistemas de domótica integrados,"Entender los diseños y las especificaciones facilitados por fabricantes de sistemas de domótica integrados y elegir un concepto que se ajuste a las necesidades específicas del proyecto.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (programación informática),"Técnicas y principios de desarrollo de software, como análisis, algoritmos, codificación, pruebas y compilación de paradigmas de programación en Ruby.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,Common Lisp,"Técnicas y principios de desarrollo de software, como análisis, algoritmos, codificación, pruebas y compilación de paradigmas de programación en Common Lisp.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0ce96a86-7a28-4c44-9e59-591375310894,recabar datos meteorológicos,"Recopilar datos procedentes de satélites, radares, sensores remotos y estaciones meteorológicas con el fin de obtener información sobre las condiciones y los fenómenos meteorológicos.",skill/competence,cross-sector
