programa,rango_ingreso,graduados,porcentaje
LICENCIATURA EN MATEMATICAS,"Entre 1 y 1,5 SMMLV",667,15.35
LICENCIATURA EN MATEMATICAS,Entre 4 y 6 SMMLV,299,6.88
LICENCIATURA EN MATEMATICAS,1 SMMLV,146,3.36
LICENCIATURA EN MATEMATICAS,Entre 6 y 9 SMMLV,68,1.57
LICENCIATURA EN MATEMATICAS,Más de 9 SMMLV,22,0.51
LICENCIATURA EN MATEMATICAS CON ENFASIS EN COMPUTACION,"Entre 2,5 y 4 SMMLV",10,62.5
LICENCIATURA EN MATEMATICAS CON ENFASIS EN COMPUTACION,Entre 4 y 6 SMMLV,5,31.25
LICENCIATURA EN MATEMATICAS CON ENFASIS EN COMPUTACION,Entre 6 y 9 SMMLV,1,6.25
LICENCIATURA EN MATEMATICAS E INFORMATICA,"Entre 2,5 y 4 SMMLV",111,43.19
LICENCIATURA EN MATEMATICAS E INFORMATICA,"Entre 1,5 y 2,5 SMMLV",81,31.52
LICENCIATURA EN MATEMATICAS E INFORMATICA,"Entre 1 y 1,5 SMMLV",41,15.95
LICENCIATURA EN MATEMATICAS E INFORMATICA,Entre 4 y 6 SMMLV,13,5.06
LICENCIATURA EN MATEMATICAS E INFORMATICA,1 SMMLV,10,3.89
LICENCIATURA EN MATEMATICAS E INFORMATICA,Entre 6 y 9 SMMLV,1,0.39
LICENCIATURA EN MATEMATICAS Y CIENCIAS DE LA COMPUTACION,"Entre 2,5 y 4 SMMLV",7,77.78
LICENCIATURA EN MATEMATICAS Y CIENCIAS DE LA COMPUTACION,"Entre 1,5 y 2,5 SMMLV",1,11.11
LICENCIATURA EN MATEMATICAS Y CIENCIAS DE LA COMPUTACION,Más de 9 SMMLV,1,11.11
LICENCIATURA EN MATEMATICAS Y COMPUTACION,"Entre 2,5 y 4 SMMLV",113,51.83
LICENCIATURA EN MATEMATICAS Y COMPUTACION,Entre 4 y 6 SMMLV,48,22.02
LICENCIATURA EN MATEMATICAS Y COMPUTACION,"Entre 1,5 y 2,5 SMMLV",33,15.14
LICENCIATURA EN MATEMATICAS Y COMPUTACION,"Entre 1 y 1,5 SMMLV",11,5.05
LICENCIATURA EN MATEMATICAS Y COMPUTACION,1 SMMLV,6,2.75
LICENCIATURA EN MATEMATICAS Y COMPUTACION,Entre 6 y 9 SMMLV,6,2.75
LICENCIATURA EN MATEMATICAS Y COMPUTACION,Más de 9 SMMLV,1,0.46
LICENCIATURA EN MATEMATICAS Y ESTADISTICA,"Entre 2,5 y 4 SMMLV",43,43.0
LICENCIATURA EN MATEMATICAS Y ESTADISTICA,"Entre 1,5 y 2,5 SMMLV",26,26.0
LICENCIATURA EN MATEMATICAS Y ESTADISTICA,"Entre 1 y 1,5 SMMLV",18,18.0
LICENCIATURA EN MATEMATICAS Y ESTADISTICA,Entre 4 y 6 SMMLV,7,7.0
LICENCIATURA EN MATEMATICAS Y ESTADISTICA,1 SMMLV,4,4.0
LICENCIATURA EN MATEMATICAS Y ESTADISTICA,Entre 6 y 9 SMMLV,2,2.0
LICENCIATURA EN MATEMATICAS Y FISICA,"Entre 2,5 y 4 SMMLV",1225,57.95
LICENCIATURA EN MATEMATICAS Y FISICA,"Entre 1,5 y 2,5 SMMLV",407,19.25
LICENCIATURA EN MATEMATICAS Y FISICA,"Entre 1 y 1,5 SMMLV",182,8.61
LICENCIATURA EN MATEMATICAS Y FISICA,Entre 4 y 6 SMMLV,177,8.37
LICENCIATURA EN MATEMATICAS Y FISICA,1 SMMLV,63,2.98
LICENCIATURA EN MATEMATICAS Y FISICA,Entre 6 y 9 SMMLV,40,1.89
LICENCIATURA EN MATEMATICAS Y FISICA,Más de 9 SMMLV,20,0.95
LICENCIATURA EN MATEMATICAS Y TECNOLOGIAS DE LA INFORMACION,"Entre 2,5 y 4 SMMLV",16,37.21
LICENCIATURA EN MATEMATICAS Y TECNOLOGIAS DE LA INFORMACION,"Entre 1,5 y 2,5 SMMLV",13,30.23
LICENCIATURA EN MATEMATICAS Y TECNOLOGIAS DE LA INFORMACION,"Entre 1 y 1,5 SMMLV",9,20.93
LICENCIATURA EN MATEMATICAS Y TECNOLOGIAS DE LA INFORMACION,Entre 4 y 6 SMMLV,4,9.3
LICENCIATURA EN MATEMATICAS Y TECNOLOGIAS DE LA INFORMACION,1 SMMLV,1,2.33
LICENCIATURA EN MUSICA,"Entre 2,5 y 4 SMMLV",708,34.4
LICENCIATURA EN MUSICA,"Entre 1,5 y 2,5 SMMLV",528,25.66
LICENCIATURA EN MUSICA,"Entre 1 y 1,5 SMMLV",490,23.81
LICENCIATURA EN MUSICA,1 SMMLV,167,8.11
LICENCIATURA EN MUSICA,Entre 4 y 6 SMMLV,132,6.41
LICENCIATURA EN MUSICA,Entre 6 y 9 SMMLV,24,1.17
LICENCIATURA EN MUSICA,Más de 9 SMMLV,9,0.44
LICENCIATURA EN MUSICA Y DANZA,"Entre 2,5 y 4 SMMLV",13,43.33
LICENCIATURA EN MUSICA Y DANZA,"Entre 1,5 y 2,5 SMMLV",9,30.0
LICENCIATURA EN MUSICA Y DANZA,"Entre 1 y 1,5 SMMLV",3,10.0
LICENCIATURA EN MUSICA Y DANZA,1 SMMLV,2,6.67
LICENCIATURA EN MUSICA Y DANZA,Entre 4 y 6 SMMLV,2,6.67
LICENCIATURA EN MUSICA Y DANZA,Más de 9 SMMLV,1,3.33
LICENCIATURA EN NECESIDADES EDUCATIVAS ESPECIALES CON ENFASIS EN VALORES HUMANOS,"Entre 2,5 y 4 SMMLV",75,51.37
LICENCIATURA EN NECESIDADES EDUCATIVAS ESPECIALES CON ENFASIS EN VALORES HUMANOS,Entre 4 y 6 SMMLV,39,26.71
LICENCIATURA EN NECESIDADES EDUCATIVAS ESPECIALES CON ENFASIS EN VALORES HUMANOS,"Entre 1 y 1,5 SMMLV",12,8.22
LICENCIATURA EN NECESIDADES EDUCATIVAS ESPECIALES CON ENFASIS EN VALORES HUMANOS,"Entre 1,5 y 2,5 SMMLV",11,7.53
LICENCIATURA EN NECESIDADES EDUCATIVAS ESPECIALES CON ENFASIS EN VALORES HUMANOS,Entre 6 y 9 SMMLV,5,3.42
LICENCIATURA EN NECESIDADES EDUCATIVAS ESPECIALES CON ENFASIS EN VALORES HUMANOS,1 SMMLV,4,2.74
"LICENCIATURA EN PEDAGOGIA DE LA EDUCACION BASICA ENF MATEMATICAS CIENCIAS RELIGIOSAS,TECNOLOGIA E INFORMATICA","Entre 2,5 y 4 SMMLV",11,57.89
"LICENCIATURA EN PEDAGOGIA DE LA EDUCACION BASICA ENF MATEMATICAS CIENCIAS RELIGIOSAS,TECNOLOGIA E INFORMATICA","Entre 1,5 y 2,5 SMMLV",3,15.79
"LICENCIATURA EN PEDAGOGIA DE LA EDUCACION BASICA ENF MATEMATICAS CIENCIAS RELIGIOSAS,TECNOLOGIA E INFORMATICA",Entre 4 y 6 SMMLV,3,15.79
"LICENCIATURA EN PEDAGOGIA DE LA EDUCACION BASICA ENF MATEMATICAS CIENCIAS RELIGIOSAS,TECNOLOGIA E INFORMATICA","Entre 1 y 1,5 SMMLV",2,10.53
LICENCIATURA EN PEDAGOGIA DE LA MADRE TIERRA,"Entre 2,5 y 4 SMMLV",48,73.85
LICENCIATURA EN PEDAGOGIA DE LA MADRE TIERRA,"Entre 1,5 y 2,5 SMMLV",10,15.38
LICENCIATURA EN PEDAGOGIA DE LA MADRE TIERRA,"Entre 1 y 1,5 SMMLV",6,9.23
LICENCIATURA EN PEDAGOGIA DE LA MADRE TIERRA,Más de 9 SMMLV,1,1.54
LICENCIATURA EN PEDAGOGIA DE LA PRIMERA INFANCIA,"Entre 1 y 1,5 SMMLV",76,45.78
LICENCIATURA EN PEDAGOGIA DE LA PRIMERA INFANCIA,"Entre 1,5 y 2,5 SMMLV",64,38.55
LICENCIATURA EN PEDAGOGIA DE LA PRIMERA INFANCIA,1 SMMLV,17,10.24
LICENCIATURA EN PEDAGOGIA DE LA PRIMERA INFANCIA,"Entre 2,5 y 4 SMMLV",9,5.42
LICENCIATURA EN PEDAGOGIA INFANTIL,"Entre 1 y 1,5 SMMLV",13747,55.76
LICENCIATURA EN PEDAGOGIA INFANTIL,"Entre 1,5 y 2,5 SMMLV",4984,20.22
LICENCIATURA EN PEDAGOGIA INFANTIL,"Entre 2,5 y 4 SMMLV",3506,14.22
LICENCIATURA EN PEDAGOGIA INFANTIL,1 SMMLV,1942,7.88
LICENCIATURA EN PEDAGOGIA INFANTIL,Entre 4 y 6 SMMLV,402,1.63
LICENCIATURA EN PEDAGOGIA INFANTIL,Entre 6 y 9 SMMLV,54,0.22
LICENCIATURA EN PEDAGOGIA INFANTIL,Más de 9 SMMLV,17,0.07
LICENCIATURA EN PEDAGOGIA INFANTIL ,"Entre 1 y 1,5 SMMLV",78,49.68
LICENCIATURA EN PEDAGOGIA INFANTIL ,"Entre 1,5 y 2,5 SMMLV",26,16.56
LICENCIATURA EN PEDAGOGIA INFANTIL ,"Entre 2,5 y 4 SMMLV",26,16.56
LICENCIATURA EN PEDAGOGIA INFANTIL ,1 SMMLV,23,14.65
LICENCIATURA EN PEDAGOGIA INFANTIL ,Entre 4 y 6 SMMLV,4,2.55
LICENCIATURA EN PEDAGOGIA INFANTIL Y FAMILIAR,"Entre 2,5 y 4 SMMLV",7,46.67
LICENCIATURA EN PEDAGOGIA INFANTIL Y FAMILIAR,1 SMMLV,2,13.33
LICENCIATURA EN PEDAGOGIA INFANTIL Y FAMILIAR,"Entre 1 y 1,5 SMMLV",2,13.33
LICENCIATURA EN PEDAGOGIA INFANTIL Y FAMILIAR,"Entre 1,5 y 2,5 SMMLV",2,13.33
LICENCIATURA EN PEDAGOGIA INFANTIL Y FAMILIAR,Entre 4 y 6 SMMLV,1,6.67
LICENCIATURA EN PEDAGOGIA INFANTIL Y FAMILIAR,Más de 9 SMMLV,1,6.67
LICENCIATURA EN PEDAGOGIA PARA LA REVITALIZACION DE LENGUAS ORIGINARIAS,"Entre 1,5 y 2,5 SMMLV",3,75.0
LICENCIATURA EN PEDAGOGIA PARA LA REVITALIZACION DE LENGUAS ORIGINARIAS,"Entre 2,5 y 4 SMMLV",1,25.0
LICENCIATURA EN PEDAGOGIA REEDUCATIVA,"Entre 2,5 y 4 SMMLV",167,35.53
LICENCIATURA EN PEDAGOGIA REEDUCATIVA,"Entre 1,5 y 2,5 SMMLV",122,25.96
LICENCIATURA EN PEDAGOGIA REEDUCATIVA,"Entre 1 y 1,5 SMMLV",110,23.4
LICENCIATURA EN PEDAGOGIA REEDUCATIVA,Entre 4 y 6 SMMLV,42,8.94
LICENCIATURA EN PEDAGOGIA REEDUCATIVA,1 SMMLV,20,4.26
LICENCIATURA EN PEDAGOGIA REEDUCATIVA,Entre 6 y 9 SMMLV,7,1.49
LICENCIATURA EN PEDAGOGIA REEDUCATIVA,Más de 9 SMMLV,2,0.43
LICENCIATURA EN PEDAGOGIA SOCIAL PARA LA REHABILITACION,"Entre 1 y 1,5 SMMLV",93,53.14
LICENCIATURA EN PEDAGOGIA SOCIAL PARA LA REHABILITACION,"Entre 1,5 y 2,5 SMMLV",33,18.86
LICENCIATURA EN PEDAGOGIA SOCIAL PARA LA REHABILITACION,1 SMMLV,24,13.71
LICENCIATURA EN PEDAGOGIA SOCIAL PARA LA REHABILITACION,"Entre 2,5 y 4 SMMLV",24,13.71
LICENCIATURA EN PEDAGOGIA SOCIAL PARA LA REHABILITACION,Entre 4 y 6 SMMLV,1,0.57
"LICENCIATURA EN PEDAGOGIA Y DIDACTICA DE LA EDUCACION FISICA , RECREACION Y DEPORTE",Entre 4 y 6 SMMLV,3,42.86
"LICENCIATURA EN PEDAGOGIA Y DIDACTICA DE LA EDUCACION FISICA , RECREACION Y DEPORTE","Entre 1 y 1,5 SMMLV",2,28.57
"LICENCIATURA EN PEDAGOGIA Y DIDACTICA DE LA EDUCACION FISICA , RECREACION Y DEPORTE",1 SMMLV,1,14.29
"LICENCIATURA EN PEDAGOGIA Y DIDACTICA DE LA EDUCACION FISICA , RECREACION Y DEPORTE","Entre 2,5 y 4 SMMLV",1,14.29
LICENCIATURA EN PEDAGOGIA Y DIDACTICA DE LA TECNOLOGIA E INFORMATICA,"Entre 1,5 y 2,5 SMMLV",1,50.0
LICENCIATURA EN PEDAGOGIA Y DIDACTICA DE LA TECNOLOGIA E INFORMATICA,"Entre 2,5 y 4 SMMLV",1,50.0
LICENCIATURA EN PEDAGOGIA Y DIDACTICA DE LAS CIENCIAS NATURALES Y MEDIO AMBIENTE,"Entre 2,5 y 4 SMMLV",2,100.0
LICENCIATURA EN PEDAGOGIA Y DIDACTICA DE LAS CIENCIAS SOCIALES Y ARTES,Entre 6 y 9 SMMLV,2,100.0
LICENCIATURA EN PEDAGOGIAS COMUNITARIAS,"Entre 1,5 y 2,5 SMMLV",59,78.67
LICENCIATURA EN PEDAGOGIAS COMUNITARIAS,"Entre 2,5 y 4 SMMLV",9,12.0
LICENCIATURA EN PEDAGOGIAS COMUNITARIAS,"Entre 1 y 1,5 SMMLV",5,6.67
LICENCIATURA EN PEDAGOGIAS COMUNITARIAS,1 SMMLV,1,1.33
LICENCIATURA EN PEDAGOGIAS COMUNITARIAS,Entre 4 y 6 SMMLV,1,1.33
LICENCIATURA EN PEDAGOG¿A INFANTIL,"Entre 1 y 1,5 SMMLV",508,56.82
LICENCIATURA EN PEDAGOG¿A INFANTIL,"Entre 1,5 y 2,5 SMMLV",194,21.7
LICENCIATURA EN PEDAGOG¿A INFANTIL,"Entre 2,5 y 4 SMMLV",127,14.21
LICENCIATURA EN PEDAGOG¿A INFANTIL,1 SMMLV,53,5.93
LICENCIATURA EN PEDAGOG¿A INFANTIL,Entre 4 y 6 SMMLV,12,1.34
LICENCIATURA EN PREESCOLAR,"Entre 1 y 1,5 SMMLV",936,44.11
LICENCIATURA EN PREESCOLAR,"Entre 2,5 y 4 SMMLV",516,24.32
LICENCIATURA EN PREESCOLAR,"Entre 1,5 y 2,5 SMMLV",485,22.86
LICENCIATURA EN PREESCOLAR,1 SMMLV,148,6.97
LICENCIATURA EN PREESCOLAR,Entre 4 y 6 SMMLV,35,1.65
LICENCIATURA EN PREESCOLAR,Entre 6 y 9 SMMLV,1,0.05
LICENCIATURA EN PREESCOLAR,Más de 9 SMMLV,1,0.05
LICENCIATURA EN PREESCOLAR MUSICAL,"Entre 1 y 1,5 SMMLV",4,33.33
LICENCIATURA EN PREESCOLAR MUSICAL,"Entre 2,5 y 4 SMMLV",4,33.33
LICENCIATURA EN PREESCOLAR MUSICAL,1 SMMLV,2,16.67
LICENCIATURA EN PREESCOLAR MUSICAL,"Entre 1,5 y 2,5 SMMLV",2,16.67
LICENCIATURA EN PRODUCCION AGROPECUARIA,"Entre 2,5 y 4 SMMLV",103,44.02
LICENCIATURA EN PRODUCCION AGROPECUARIA,"Entre 1 y 1,5 SMMLV",45,19.23
LICENCIATURA EN PRODUCCION AGROPECUARIA,"Entre 1,5 y 2,5 SMMLV",44,18.8
LICENCIATURA EN PRODUCCION AGROPECUARIA,1 SMMLV,23,9.83
LICENCIATURA EN PRODUCCION AGROPECUARIA,Entre 4 y 6 SMMLV,17,7.26
LICENCIATURA EN PRODUCCION AGROPECUARIA,Entre 6 y 9 SMMLV,2,0.85
LICENCIATURA EN PSICOLOGIA Y PEDAGOGIA,"Entre 2,5 y 4 SMMLV",259,38.89
LICENCIATURA EN PSICOLOGIA Y PEDAGOGIA,"Entre 1,5 y 2,5 SMMLV",172,25.83
LICENCIATURA EN PSICOLOGIA Y PEDAGOGIA,"Entre 1 y 1,5 SMMLV",123,18.47
LICENCIATURA EN PSICOLOGIA Y PEDAGOGIA,Entre 4 y 6 SMMLV,54,8.11
LICENCIATURA EN PSICOLOGIA Y PEDAGOGIA,1 SMMLV,38,5.71
LICENCIATURA EN PSICOLOGIA Y PEDAGOGIA,Entre 6 y 9 SMMLV,13,1.95
LICENCIATURA EN PSICOLOGIA Y PEDAGOGIA,Más de 9 SMMLV,7,1.05
LICENCIATURA EN PSICOPEDAGOGIA CON ENFASIS EN ASESORIA EDUCATIVA,"Entre 2,5 y 4 SMMLV",98,34.39
LICENCIATURA EN PSICOPEDAGOGIA CON ENFASIS EN ASESORIA EDUCATIVA,"Entre 1 y 1,5 SMMLV",76,26.67
LICENCIATURA EN PSICOPEDAGOGIA CON ENFASIS EN ASESORIA EDUCATIVA,"Entre 1,5 y 2,5 SMMLV",59,20.7
LICENCIATURA EN PSICOPEDAGOGIA CON ENFASIS EN ASESORIA EDUCATIVA,1 SMMLV,24,8.42
LICENCIATURA EN PSICOPEDAGOGIA CON ENFASIS EN ASESORIA EDUCATIVA,Entre 4 y 6 SMMLV,23,8.07
LICENCIATURA EN PSICOPEDAGOGIA CON ENFASIS EN ASESORIA EDUCATIVA,Entre 6 y 9 SMMLV,5,1.75
LICENCIATURA EN QUIMICA,"Entre 1,5 y 2,5 SMMLV",371,32.98
LICENCIATURA EN QUIMICA,"Entre 2,5 y 4 SMMLV",339,30.13
LICENCIATURA EN QUIMICA,"Entre 1 y 1,5 SMMLV",222,19.73
LICENCIATURA EN QUIMICA,Entre 4 y 6 SMMLV,107,9.51
LICENCIATURA EN QUIMICA,1 SMMLV,52,4.62
LICENCIATURA EN QUIMICA,Entre 6 y 9 SMMLV,26,2.31
LICENCIATURA EN QUIMICA,Más de 9 SMMLV,8,0.71
LICENCIATURA EN QUIMICA Y BIOLOGIA,"Entre 2,5 y 4 SMMLV",73,58.4
LICENCIATURA EN QUIMICA Y BIOLOGIA,Entre 4 y 6 SMMLV,27,21.6
LICENCIATURA EN QUIMICA Y BIOLOGIA,"Entre 1,5 y 2,5 SMMLV",16,12.8
LICENCIATURA EN QUIMICA Y BIOLOGIA,"Entre 1 y 1,5 SMMLV",9,7.2
LICENCIATURA EN QUIMICA Y EDUCACION AMBIENTAL,"Entre 1,5 y 2,5 SMMLV",10,37.04
LICENCIATURA EN QUIMICA Y EDUCACION AMBIENTAL,"Entre 1 y 1,5 SMMLV",8,29.63
LICENCIATURA EN QUIMICA Y EDUCACION AMBIENTAL,"Entre 2,5 y 4 SMMLV",8,29.63
LICENCIATURA EN QUIMICA Y EDUCACION AMBIENTAL,1 SMMLV,1,3.7
LICENCIATURA EN RECREACION,"Entre 1 y 1,5 SMMLV",16,38.1
LICENCIATURA EN RECREACION,"Entre 2,5 y 4 SMMLV",15,35.71
LICENCIATURA EN RECREACION,"Entre 1,5 y 2,5 SMMLV",7,16.67
LICENCIATURA EN RECREACION,1 SMMLV,4,9.52
LICENCIATURA EN RECREACION Y TURISMO,"Entre 1 y 1,5 SMMLV",27,42.19
LICENCIATURA EN RECREACION Y TURISMO,"Entre 2,5 y 4 SMMLV",21,32.81
LICENCIATURA EN RECREACION Y TURISMO,"Entre 1,5 y 2,5 SMMLV",14,21.88
LICENCIATURA EN RECREACION Y TURISMO,1 SMMLV,2,3.12
LICENCIATURA EN SOCIALES,"Entre 2,5 y 4 SMMLV",41,48.81
LICENCIATURA EN SOCIALES,Entre 4 y 6 SMMLV,30,35.71
LICENCIATURA EN SOCIALES,"Entre 1 y 1,5 SMMLV",5,5.95
LICENCIATURA EN SOCIALES,"Entre 1,5 y 2,5 SMMLV",5,5.95
LICENCIATURA EN SOCIALES,Entre 6 y 9 SMMLV,3,3.57
LICENCIATURA EN TEATRO,"Entre 1 y 1,5 SMMLV",16,40.0
LICENCIATURA EN TEATRO,"Entre 1,5 y 2,5 SMMLV",9,22.5
LICENCIATURA EN TEATRO,"Entre 2,5 y 4 SMMLV",8,20.0
LICENCIATURA EN TEATRO,1 SMMLV,3,7.5
LICENCIATURA EN TEATRO,Entre 4 y 6 SMMLV,3,7.5
LICENCIATURA EN TEATRO,Más de 9 SMMLV,1,2.5
LICENCIATURA EN TECNOLOGIA,"Entre 1 y 1,5 SMMLV",17,44.74
LICENCIATURA EN TECNOLOGIA,"Entre 1,5 y 2,5 SMMLV",15,39.47
LICENCIATURA EN TECNOLOGIA,1 SMMLV,3,7.89
LICENCIATURA EN TECNOLOGIA,"Entre 2,5 y 4 SMMLV",2,5.26
LICENCIATURA EN TECNOLOGIA,Entre 4 y 6 SMMLV,1,2.63
LICENCIATURA EN TECNOLOGIA E INFORMATICA,"Entre 1,5 y 2,5 SMMLV",64,33.51
LICENCIATURA EN TECNOLOGIA E INFORMATICA,"Entre 2,5 y 4 SMMLV",64,33.51
LICENCIATURA EN TECNOLOGIA E INFORMATICA,"Entre 1 y 1,5 SMMLV",42,21.99
LICENCIATURA EN TECNOLOGIA E INFORMATICA,1 SMMLV,12,6.28
LICENCIATURA EN TECNOLOGIA E INFORMATICA,Entre 4 y 6 SMMLV,7,3.66
LICENCIATURA EN TECNOLOGIA E INFORMATICA,Entre 6 y 9 SMMLV,2,1.05
LICENCIATURA EN TECNOLOGIA Y EDUCACION,"Entre 2,5 y 4 SMMLV",11,68.75
LICENCIATURA EN TECNOLOGIA Y EDUCACION,"Entre 1 y 1,5 SMMLV",2,12.5
LICENCIATURA EN TECNOLOGIA Y EDUCACION,Entre 4 y 6 SMMLV,2,12.5
LICENCIATURA EN TECNOLOGIA Y EDUCACION,"Entre 1,5 y 2,5 SMMLV",1,6.25
LICENCIATURA EN TEOLOGIA,"Entre 2,5 y 4 SMMLV",384,42.91
LICENCIATURA EN TEOLOGIA,"Entre 1,5 y 2,5 SMMLV",195,21.79
LICENCIATURA EN TEOLOGIA,"Entre 1 y 1,5 SMMLV",186,20.78
LICENCIATURA EN TEOLOGIA,Entre 4 y 6 SMMLV,77,8.6
LICENCIATURA EN TEOLOGIA,1 SMMLV,29,3.24
LICENCIATURA EN TEOLOGIA,Entre 6 y 9 SMMLV,16,1.79
LICENCIATURA EN TEOLOGIA,Más de 9 SMMLV,8,0.89
LICENCIATURA LENGUAS EXTRANJERAS CON ENFASIS EN INGLES,"Entre 1,5 y 2,5 SMMLV",23,48.94
LICENCIATURA LENGUAS EXTRANJERAS CON ENFASIS EN INGLES,"Entre 2,5 y 4 SMMLV",12,25.53
LICENCIATURA LENGUAS EXTRANJERAS CON ENFASIS EN INGLES,"Entre 1 y 1,5 SMMLV",8,17.02
LICENCIATURA LENGUAS EXTRANJERAS CON ENFASIS EN INGLES,Entre 4 y 6 SMMLV,3,6.38
LICENCIATURA LENGUAS EXTRANJERAS CON ENFASIS EN INGLES,1 SMMLV,1,2.13
LICENCIATURA MUSICA,"Entre 2,5 y 4 SMMLV",5,35.71
LICENCIATURA MUSICA,"Entre 1,5 y 2,5 SMMLV",4,28.57
LICENCIATURA MUSICA,Entre 4 y 6 SMMLV,3,21.43
LICENCIATURA MUSICA,"Entre 1 y 1,5 SMMLV",2,14.29
LICENCIATURA PEDAGOGIA INFANTIL,"Entre 1 y 1,5 SMMLV",570,50.71
LICENCIATURA PEDAGOGIA INFANTIL,"Entre 2,5 y 4 SMMLV",262,23.31
LICENCIATURA PEDAGOGIA INFANTIL,"Entre 1,5 y 2,5 SMMLV",168,14.95
LICENCIATURA PEDAGOGIA INFANTIL,1 SMMLV,111,9.88
LICENCIATURA PEDAGOGIA INFANTIL,Entre 4 y 6 SMMLV,12,1.07
LICENCIATURA PEDAGOGIA INFANTIL,Entre 6 y 9 SMMLV,1,0.09
LINGUISTICA,"Entre 2,5 y 4 SMMLV",61,33.33
LINGUISTICA,"Entre 1 y 1,5 SMMLV",39,21.31
LINGUISTICA,"Entre 1,5 y 2,5 SMMLV",38,20.77
LINGUISTICA,Entre 4 y 6 SMMLV,26,14.21
LINGUISTICA,1 SMMLV,15,8.2
LINGUISTICA,Entre 6 y 9 SMMLV,4,2.19
LINGUISTICA Y LITERATURA,"Entre 2,5 y 4 SMMLV",97,33.8
LINGUISTICA Y LITERATURA,"Entre 1 y 1,5 SMMLV",76,26.48
LINGUISTICA Y LITERATURA,"Entre 1,5 y 2,5 SMMLV",66,23.0
LINGUISTICA Y LITERATURA,Entre 4 y 6 SMMLV,21,7.32
LINGUISTICA Y LITERATURA,1 SMMLV,20,6.97
LINGUISTICA Y LITERATURA,Entre 6 y 9 SMMLV,5,1.74
LINGUISTICA Y LITERATURA,Más de 9 SMMLV,2,0.7
LITERATURA,"Entre 2,5 y 4 SMMLV",90,25.35
LITERATURA,"Entre 1,5 y 2,5 SMMLV",70,19.72
LITERATURA,"Entre 1 y 1,5 SMMLV",66,18.59
LITERATURA,Entre 4 y 6 SMMLV,62,17.46
LITERATURA,Entre 6 y 9 SMMLV,28,7.89
LITERATURA,Más de 9 SMMLV,22,6.2
LITERATURA,1 SMMLV,17,4.79
LOGISTICA EMPRESARIAL,"Entre 2,5 y 4 SMMLV",8,38.1
LOGISTICA EMPRESARIAL,"Entre 1,5 y 2,5 SMMLV",5,23.81
LOGISTICA EMPRESARIAL,Entre 4 y 6 SMMLV,5,23.81
LOGISTICA EMPRESARIAL,"Entre 1 y 1,5 SMMLV",3,14.29
LOGISTICA Y MERCADEO ORGANIZACIONAL,"Entre 1,5 y 2,5 SMMLV",7,53.85
LOGISTICA Y MERCADEO ORGANIZACIONAL,"Entre 1 y 1,5 SMMLV",2,15.38
LOGISTICA Y MERCADEO ORGANIZACIONAL,1 SMMLV,1,7.69
LOGISTICA Y MERCADEO ORGANIZACIONAL,"Entre 2,5 y 4 SMMLV",1,7.69
LOGISTICA Y MERCADEO ORGANIZACIONAL,Entre 4 y 6 SMMLV,1,7.69
LOGISTICA Y MERCADEO ORGANIZACIONAL,Entre 6 y 9 SMMLV,1,7.69
MAESTRA EN GERENCIA DE LA RESPONSABILIDAD SOCIAL Y SOSTENIBILIDAD EMPRESARIAL,Entre 6 y 9 SMMLV,8,40.0
MAESTRA EN GERENCIA DE LA RESPONSABILIDAD SOCIAL Y SOSTENIBILIDAD EMPRESARIAL,Más de 9 SMMLV,6,30.0
MAESTRA EN GERENCIA DE LA RESPONSABILIDAD SOCIAL Y SOSTENIBILIDAD EMPRESARIAL,"Entre 2,5 y 4 SMMLV",3,15.0
MAESTRA EN GERENCIA DE LA RESPONSABILIDAD SOCIAL Y SOSTENIBILIDAD EMPRESARIAL,Entre 4 y 6 SMMLV,2,10.0
MAESTRA EN GERENCIA DE LA RESPONSABILIDAD SOCIAL Y SOSTENIBILIDAD EMPRESARIAL,"Entre 1 y 1,5 SMMLV",1,5.0
MAESTRIA BIOLOGIA VEGETAL,Entre 4 y 6 SMMLV,4,33.33
MAESTRIA BIOLOGIA VEGETAL,Entre 6 y 9 SMMLV,3,25.0
MAESTRIA BIOLOGIA VEGETAL,"Entre 2,5 y 4 SMMLV",2,16.67
MAESTRIA BIOLOGIA VEGETAL,1 SMMLV,1,8.33
MAESTRIA BIOLOGIA VEGETAL,"Entre 1,5 y 2,5 SMMLV",1,8.33
MAESTRIA BIOLOGIA VEGETAL,Más de 9 SMMLV,1,8.33
MAESTRIA DE FISIOTERAPIA EN PEDIATRIA,"Entre 2,5 y 4 SMMLV",5,35.71
MAESTRIA DE FISIOTERAPIA EN PEDIATRIA,"Entre 1,5 y 2,5 SMMLV",4,28.57
MAESTRIA DE FISIOTERAPIA EN PEDIATRIA,Entre 6 y 9 SMMLV,3,21.43
MAESTRIA DE FISIOTERAPIA EN PEDIATRIA,1 SMMLV,1,7.14
MAESTRIA DE FISIOTERAPIA EN PEDIATRIA,Entre 4 y 6 SMMLV,1,7.14
MAESTRIA DE INVESTIGACION EN ADMINISTRACION,"Entre 1 y 1,5 SMMLV",3,33.33
MAESTRIA DE INVESTIGACION EN ADMINISTRACION,Entre 4 y 6 SMMLV,3,33.33
MAESTRIA DE INVESTIGACION EN ADMINISTRACION,"Entre 2,5 y 4 SMMLV",1,11.11
MAESTRIA DE INVESTIGACION EN ADMINISTRACION,Entre 6 y 9 SMMLV,1,11.11
