ActividadEconomicaDesc,total_cotizantes,total_cotizaciones
4659 - Comercio Al Por Mayor De Otros Tipos De Maquinaria Y Equipo N.C.P.,165087.358,165141.898
"2022 - Fabricación De Pinturas, Barnices Y Revestimientos Similares, Tintas Para Impresión Y Masillas",164766.645,164961.701
6010 - Actividades De Programación Y Transmisión En El Servicio De Radiodifusión Sonora,163642.142,162793.506
2511 - Fabricación De Productos Metálicos Para Uso Estructural,163015.233,163148.442
"0820 - Extracción De Esmeraldas, Piedras Preciosas Y Semipreciosas",162704.848,162870.887
4751 - Comercio Al Por Menor De Productos Textiles En Establecimientos Especializados,162271.849,162450.157
9529 - Mantenimiento Y Reparación De Otros Efectos Personales Y Enseres Domésticos,162105.0,162247.0
1084 - Elaboración De Comidas Y Platos Preparados,161376.982,159779.414
4649 - Comercio Al Por Mayor De Otros Utensilios Domésticos N.C.P.,161339.686,161535.222
"6311 - Procesamiento De Datos, Alojamiento (Hosting) Y Actividades Relacionadas",160419.122,160593.037
"5221 - Actividades De Estaciones, Vías Y Servicios Complementarios Para El Transporte Terrestre",160228.933,160344.04
2392 - Fabricación De Materiales De Arcilla Para La Construcción,159271.83,159940.239
9329 - Otras Actividades Recreativas Y De Esparcimiento N.C.P.,159248.846,159335.534
7120 - Ensayos Y Análisis Técnicos,158971.299,158097.376
4662 - Comercio Al Por Mayor De Metales Y Productos Metalíferos,157821.121,157973.214
2219 - Fabricación De Formas Básicas De Caucho Y Otros Productos De Caucho N.C.P.,157568.719,157621.88
5122 - Transporte Aéreo Internacional De Carga,157427.736,157445.889
8553 - Enseñanza Cultural,156608.0,156760.0
1030 - Elaboración De Aceites Y Grasas De Origen Vegetal Y Animal,155967.039,155998.136
1313 - Acabado De Productos Textiles,155298.251,155429.898
5619 - Otros Tipos De Expendio De Comidas Preparadas N.C.P.,155134.233,155561.594
1820 - Producción De Copias A Partir De Grabaciones Originales,154425.0,154436.0
"4732 - Comercio Al Por Menor De Lubricantes (Aceites, Grasas), Aditivos Y Productos De Limpieza Para Vehículos Automotores",154329.265,154865.356
2740 - Fabricación De Equipos Eléctricos De Iluminación,153347.171,153511.171
"1702 - Fabricación De Papel Y Cartón Ondulado (Corrugado); Fabricación De Envases, Empaques Y De Embalajes De Papel Y Cartón.",152103.567,146681.642
8542 - Educación Tecnológica,151730.0,151904.0
"2512 - Fabricación De Tanques, Depósitos Y Recipientes De Metal, Excepto Los Utilizados Para El Envase O Transporte De Mercancías",151527.227,151613.227
1311 - Preparación E Hilatura De Fibras Textiles,149943.731,149955.748
"9601 - Lavado Y Limpieza, Incluso La Limpieza En Seco, De Productos Textiles Y De Piel",148953.738,148901.463
"3210 - Fabricación De Joyas, Bisutería Y Artículos Conexos",148404.101,148504.125
0163 - Actividades Posteriores A La Cosecha,148313.105,148316.105
"4729 - Comercio Al Por Menor De Otros Productos Alimenticios N.C.P., En Establecimientos Especializados",147954.435,148128.661
1011 - Procesamiento Y Conservación De Carne Y Productos Cárnicos,147189.219,147313.424
"2813 - Fabricación De Otras Bombas, Compresores, Grifos Y Válvulas",146900.0,146903.0
"4754 - Comercio Al Por Menor De Electrodomésticos Y Gasodomésticos De Uso Doméstico, Muebles Y Equipos De Iluminación",146130.409,146521.426
5021 - Transporte Fluvial De Pasajeros,146106.002,146542.04
0144 - Cría De Ganado Porcino,145309.904,145416.527
0126 - Cultivo De Palma Para Aceite (Palma Africana) Y Otros Frutos Oleaginosos,145080.903,145747.835
5629 - Actividades De Otros Servicios De Comidas,145054.02,145537.613
5530 - Servicio Por Horas,144976.826,145528.071
4930 - Transporte Por Tuberías,144658.0,144710.0
4512 - Comercio De Vehículos Automotores Usados,144177.531,144383.624
8230 - Organización De Convenciones Y Eventos Comerciales,143742.361,144114.296
2829 - Fabricación De Otros Tipos De Maquinaria Y Equipo De Uso Especial N.C.P.,143713.362,143767.374
0162 - Actividades De Apoyo A La Ganadería,143323.294,143515.441
"2395 - Fabricación De Artículos De Hormigón, Cemento Y Yeso",142843.184,142914.336
"2593 - Fabricación De Artículos De Cuchillería, Herramientas De Mano Y Artículos De Ferretería",142590.143,142596.143
2429 - Industrias Básicas De Otros Metales No Ferrosos,142069.501,142081.545
2592 - Tratamiento Y Revestimiento De Metales; Mecanizado,141821.089,142038.161
3313 - Mantenimiento Y Reparación Especializado De Equipo Electrónico Y Óptico,141625.0,141817.0
2030 - Fabricación De Fibras Sintéticas Y Artificiales,141463.464,141472.464
"2711 - Fabricación De Motores, Generadores Y Transformadores Eléctricos",141414.0,141436.0
2432 - Fundición De Metales No Ferrosos,141215.0,141348.0
1312 - Tejeduría De Productos Textiles,140769.165,140785.388
"3250 - Fabricación De Instrumentos, Aparatos Y Materiales Médicos Y Odontológicos (Incluido Mobiliario)",140710.271,140775.388
0710 - Extracción De Minerales De Hierro,140685.0,140686.0
0122 - Cultivo De Plátano Y Banano,140681.671,142841.163
"9102 - Actividades Y Funcionamiento De Museos, Conservación De Edificios Y Sitios Históricos",140636.727,140691.729
2712 - Fabricación De Aparatos De Distribución Y Control De La Energía Eléctrica,139470.026,139520.032
7810 - Actividades De Agencias De Empleo,138874.417,138992.333
3700 - Evacuación Y Tratamiento De Aguas Residuales,138063.015,138171.028
1640 - Fabricación De Recipientes De Madera,137456.406,137512.406
"4781 - Comercio Al Por Menor De Alimentos, Bebidas Y Tabaco, En Puestos De Venta Móviles",137072.615,137161.685
1921 - Fabricación De Productos De La Refinación Del Petróleo,135935.833,135971.852
"2825 - Fabricación De Maquinaria Para La Elaboración De Alimentos, Bebidas Y Tabaco",135801.0,135826.0
"9103 - Actividades De Jardines Botánicos, Zoológicos Y Reservas Naturales",135717.554,135886.571
1051 - Elaboración De Productos De Molinería,135548.467,135915.728
5222 - Actividades De Puertos Y Servicios Complementarios Para El Transporte Acuático,135546.961,135760.409
"4753 - Comercio Al Por Menor De Tapices, Alfombras Y Cubrimientos Para Paredes Y Pisos En Establecimientos Especializados",135278.732,135297.733
1040 - Elaboración De Productos Lácteos,135127.153,135220.773
1052 - Elaboración De Almidones Y Productos Derivados Del Almidón,135050.0,135450.0
"1630 - Fabricación De Partes Y Piezas De Madera, De Carpintería Y Ebanistería Para La Construcción",134870.706,134936.643
0220 - Extracción De Madera,134786.058,134915.058
9512 - Mantenimiento Y Reparación De Equipos De Comunicación,134773.557,134775.557
5012 - Transporte De Carga Marítimo Y De Cabotaje,134674.0,134811.0
4721 - Comercio Al Por Menor De Productos Agrícolas Para El Consumo En Establecimientos Especializados,132846.881,132919.202
2013 - Fabricación De Plásticos En Formas Primarias,132425.603,132444.654
1511 - Curtido Y Recurtido De Cueros; Recurtido Y Teñido De Pieles,132126.688,132143.091
2821 - Fabricación De Maquinaria Agropecuaria Y Forestal,132088.529,132136.531
"4322 - Instalaciones De Fontanería, Calefacción Y Aire Acondicionado",131593.348,131738.991
4329 - Otras Instalaciones Especializadas,131188.195,131256.386
1061 - Trilla De Café,131094.0,131117.0
5612 - Expendio Por Autoservicio De Comidas Preparadas,130958.41,131446.272
4922 - Transporte Mixto,130653.889,130736.28
4312 - Preparación Del Terreno,130337.384,130417.092
1812 - Actividades De Servicios Relacionados Con La Impresión,129811.661,129960.712
2640 - Fabricación De Aparatos Electrónicos De Consumo,129629.0,129644.0
"8219 - Fotocopiado, Preparación De Documentos Y Otras Actividades Especializadas De Apoyo A Oficina",129207.42,129423.495
4755 - Comercio Al Por Menor De Artículos Y Utensilios De Uso Doméstico,128548.114,127910.396
0210 - Silvicultura Y Otras Actividades Forestales,128318.47,128509.57
8810 - Actividades De Asistencia Social Sin Alojamiento Para Personas Mayores Y Discapacitadas,127979.361,128209.431
3091 - Fabricación De Motocicletas,127870.0,127870.0
2920 - Fabricación De Carrocerías Para Vehículos Automotores; Fabricación De Remolques Y Semirremolques,127124.421,127223.474
1910 - Fabricación De Productos De Hornos De Coque,126993.836,127502.872
0115 - Cultivo De Plantas Textiles,124884.056,124939.06
8291 - Actividades De Agencias De Cobranza Y Oficinas De Calificación Crediticia,124551.918,124658.191
