rama_ciiu,empleo,periodo,ano,mes,salario_promedio
8,32824.1799892,2025-09,2025,9,1324314.0
9,15705.085018873,2025-09,2025,9,2141839.0
10,637658.825802531,2025-09,2025,9,2072314.0
11,101725.331159003,2025-09,2025,9,1695557.0
12,5850.51790124,2025-09,2025,9,1631907.0
13,103400.839835446,2025-09,2025,9,1204056.0
14,403827.73223863,2025-09,2025,9,1518872.0
15,146189.061929438,2025-09,2025,9,971998.0
16,46938.893956064,2025-09,2025,9,774697.0
17,45837.766452471,2025-09,2025,9,3180489.0
18,53107.848739819005,2025-09,2025,9,1658207.0
19,8432.71732865,2025-09,2025,9,2407423.0
20,133652.061277485,2025-09,2025,9,1958470.0
21,55237.112661211,2025-09,2025,9,2839670.0
22,105469.558137139,2025-09,2025,9,2345932.0
23,150278.731918453,2025-09,2025,9,1681294.0
24,10043.91966128,2025-09,2025,9,2246820.0
25,177869.003466758,2025-09,2025,9,2278338.0
26,23926.21342117,2025-09,2025,9,2705434.0
27,27600.12978622,2025-09,2025,9,2691526.0
28,21973.322086359,2025-09,2025,9,4165295.0
29,27171.730722125998,2025-09,2025,9,2265522.0
30,21254.655891270002,2025-09,2025,9,3440551.0
31,154955.966201268,2025-09,2025,9,1623200.0
32,102146.992771703,2025-09,2025,9,1386510.0
33,109010.628859742,2025-09,2025,9,3962532.0
35,77294.466515283,2025-09,2025,9,3421900.0
36,53757.745798803,2025-09,2025,9,2151853.0
37,2840.280766282,2025-09,2025,9,3282004.0
38,166491.398425247,2025-09,2025,9,1051679.0
39,12455.04825213,2025-09,2025,9,2854248.0
41,1045463.631619014,2025-09,2025,9,1456510.0
42,187232.554486056,2025-09,2025,9,2726714.0
43,328513.56713763,2025-09,2025,9,1555502.0
45,582877.897181098,2025-09,2025,9,1644877.0
46,580367.608068488,2025-09,2025,9,2737414.0
47,2874897.235304324,2025-09,2025,9,1396494.0
49,1381919.799217008,2025-09,2025,9,1522058.0
50,18035.332821799,2025-09,2025,9,1461303.0
51,37024.61212696,2025-09,2025,9,3074445.0
52,234781.597039917,2025-09,2025,9,1988618.0
53,182273.21933713,2025-09,2025,9,1410336.0
55,159347.13253124699,2025-09,2025,9,1469523.0
56,1766803.709761467,2025-09,2025,9,1303674.0
58,24891.50688249,2025-09,2025,9,2635874.0
59,22207.53320689,2025-09,2025,9,1502654.0
60,17494.556733135,2025-09,2025,9,2764771.0
61,165506.117965245,2025-09,2025,9,2105520.0
62,172607.520615727,2025-09,2025,9,5904171.0
63,23840.186746686,2025-09,2025,9,6163200.0
64,295956.064108905,2025-09,2025,9,3377607.0
65,106445.784923613,2025-09,2025,9,4049883.0
66,30696.068203344097,2025-09,2025,9,3787282.0
68,282085.067307368,2025-09,2025,9,2030393.0
69,240775.911449807,2025-09,2025,9,3405180.0
70,50498.975349661996,2025-09,2025,9,5737744.0
71,134214.14022886,2025-09,2025,9,4361940.0
72,6835.86562549,2025-09,2025,9,7041911.0
73,143256.718358288,2025-09,2025,9,3747366.0
74,73777.182531302,2025-09,2025,9,2385395.0
75,22502.601392249,2025-09,2025,9,1968005.0
77,57179.415854156,2025-09,2025,9,2938312.0
78,39173.522892994,2025-09,2025,9,2957775.0
79,39479.516095082,2025-09,2025,9,3654510.0
80,115818.255741527,2025-09,2025,9,2034902.0
81,475503.611174288,2025-09,2025,9,744066.0
82,312038.121572693,2025-09,2025,9,2313497.0
84,860233.3466101821,2025-09,2025,9,4104852.0
85,999683.218028848,2025-09,2025,9,3399682.0
86,932164.5157780332,2025-09,2025,9,3181666.0
87,30377.644920294,2025-09,2025,9,1619451.0
88,174596.243854451,2025-09,2025,9,1712927.0
90,54688.812278369,2025-09,2025,9,1724871.0
91,16769.02691584,2025-09,2025,9,1715043.0
92,80461.452872765,2025-09,2025,9,1299736.0
93,122337.346847156,2025-09,2025,9,2065660.0
94,131494.374942464,2025-09,2025,9,2305931.0
95,230589.527377034,2025-09,2025,9,941820.0
96,634714.6732007451,2025-09,2025,9,1042922.0
97,721590.095657209,2025-09,2025,9,1073046.0
99,13972.171741706,2025-09,2025,9,5777583.0
1,3518980.644351063,2025-10,2025,10,1148497.0
2,43936.156421066,2025-10,2025,10,842660.0
3,133654.123451822,2025-10,2025,10,1244759.0
5,145617.396057319,2025-10,2025,10,1687213.0
6,31770.24342433,2025-10,2025,10,4335433.0
7,233478.350933233,2025-10,2025,10,1331302.0
8,10245.736307691,2025-10,2025,10,2073939.0
9,6958.618363074,2025-10,2025,10,3138340.0
10,641523.486030375,2025-10,2025,10,1930466.0
