ies,rango_modal,graduados_rango_modal,total_graduados
UNIVERSIDAD DE LOS LLANOS,"Entre 2,5 y 4 SMMLV",1815,6413
POLITECNICO INTERNACIONAL INSTITUCION DE EDUCACION SUPERIOR,"Entre 1 y 1,5 SMMLV",3229,6377
UNIVERSIDAD DE BOYACA UNIBOYACA,"Entre 2,5 y 4 SMMLV",1819,6370
FUNDACION UNIVERSITARIA MARIA CANO,"Entre 2,5 y 4 SMMLV",1913,6320
FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD,"Entre 2,5 y 4 SMMLV",2097,6300
UNIVERSIDAD DE SUCRE,"Entre 1 y 1,5 SMMLV",1818,6199
FUNDACION UNIVERSITARIA SAN MATEO - SAN MATEO EDUCACION SUPERIOR,"Entre 1,5 y 2,5 SMMLV",2055,6156
CORPORACION UNIVERSITARIA LATINOAMERICANA - CUL,"Entre 1 y 1,5 SMMLV",2239,5441
FUNDACION UNIVERSITARIA KONRAD LORENZ,"Entre 2,5 y 4 SMMLV",1495,5334
INSTITUCION UNIVERSITARIA DE BARRANQUILLA - IUB,"Entre 1 y 1,5 SMMLV",1935,5251
FUNDACION UNIVERSITARIA ANTONIO DE AREVALO - UNITECNAR,"Entre 1 y 1,5 SMMLV",2515,5245
INSTITUCION UNIVERSITARIA VISION DE LAS AMERICAS,"Entre 2,5 y 4 SMMLV",1269,5071
COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-,Más de 9 SMMLV,2331,4995
FUNDACION UNIVERSITARIA CATOLICA LUMEN GENTIUM - UNICATOLICA - CALI,"Entre 1,5 y 2,5 SMMLV",1518,4914
CORPORACION POLITECNICO DE LA COSTA ATLANTICA,"Entre 1 y 1,5 SMMLV",1513,4825
UNIVERSIDAD INCCA DE COLOMBIA,"Entre 2,5 y 4 SMMLV",1150,4633
COLEGIO MAYOR DE ANTIOQUIA,"Entre 1,5 y 2,5 SMMLV",1332,4512
UNIVERSIDAD CATOLICA DE PEREIRA,"Entre 1 y 1,5 SMMLV",1072,4471
FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-,"Entre 2,5 y 4 SMMLV",1170,4435
CORPORACION UNIVERSITARIA REPUBLICANA,"Entre 2,5 y 4 SMMLV",1034,4425
CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA,"Entre 2,5 y 4 SMMLV",1099,4356
CORPORACION UNIVERSITARIA AUTONOMA DE NARIÑO -AUNAR-,"Entre 1 y 1,5 SMMLV",1685,4303
FUNDACION UNIVERSITARIA CATOLICA DEL NORTE,"Entre 2,5 y 4 SMMLV",1359,4262
UNIVERSIDAD CESMAG - UNICESMAG,"Entre 1 y 1,5 SMMLV",1724,4259
