periodo,ano,mes,DPTO,pea,desempleados,tasa
2023-05,2023,5,99,7706.097648888001,1172.997132396,15.22
2023-06,2023,6,5,3078597.487002256,132399.67249588,4.3
2023-06,2023,6,8,1151625.467687889,38300.99393798,3.33
2023-06,2023,6,11,4079796.84488938,277348.43895670003,6.8
2023-06,2023,6,13,832898.6733658201,44263.74549383,5.31
2023-06,2023,6,15,550088.2232309049,31955.869644789,5.81
2023-06,2023,6,17,424598.408502054,21744.43434695,5.12
2023-06,2023,6,18,164452.476376107,12082.922485254,7.35
2023-06,2023,6,19,530576.1644581761,23668.376578794,4.46
2023-06,2023,6,20,504094.75982497394,54007.267917,10.71
2023-06,2023,6,23,747980.507939643,90646.74162865899,12.12
2023-06,2023,6,25,1524103.246107789,142931.74511118003,9.38
2023-06,2023,6,27,117176.024734915,17775.451666739,15.17
2023-06,2023,6,41,461273.925517513,30848.66785949,6.69
2023-06,2023,6,44,294736.279170957,34086.325337881,11.57
2023-06,2023,6,47,546472.2630329931,18174.549033668,3.33
2023-06,2023,6,50,463338.08324932697,42613.17991194301,9.2
2023-06,2023,6,52,752609.781477822,36525.463696014995,4.85
2023-06,2023,6,54,664427.53474875,58968.9525535,8.88
2023-06,2023,6,63,248469.75183664,39580.881651877,15.93
2023-06,2023,6,66,449885.711005197,33937.51713296,7.54
2023-06,2023,6,68,1049161.8441072279,81945.123186424,7.81
2023-06,2023,6,70,347281.163473182,15549.547318207,4.48
2023-06,2023,6,73,494143.79932711,50733.787883590005,10.27
