uri,nombre,definicion,tipo_habilidad,nivel_reutilizacion
http://data.europa.eu/esco/skill/1ab1449d-5b65-458b-b115-f5283a52da8e,asesorar sobre consumo de servicios públicos,"Asesorar a las personas u organizaciones sobre los métodos para reducir su consumo de servicios públicos, como la calefacción, el agua, el gas y la electricidad, para que puedan ahorrar dinero e incorporar prácticas sostenibles.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/1b6197c8-a08b-412b-8be0-ed6de108b17e,desarrollar mejoras en los sistemas eléctricos,"Diseñar, proponer e implementar modificaciones para mejorar los sistemas eléctricos; céntrese en la sostenibilidad, la calidad y la seguridad.",skill/competence,occupation-specific
http://data.europa.eu/esco/skill/1b644187-7c16-4685-bc80-fe1279492dea,coordinar la gestión de lodos de aguas residuales,"Coordinar el tratamiento y la eliminación de los residuos semisólidos resultantes del tratamiento de las aguas residuales, como la obtención de energía a través de la fermentación, el secado y la reutilización como fertilizante.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/1b718a43-4295-44cc-9530-78323bbeb663,fermentación a escala de laboratorio,"Los pasos y requisitos incluidos en la fermentación a escala de laboratorio para la conversión de la biomasa en productos químicos, azúcares o combustibles.",knowledge,occupation-specific
http://data.europa.eu/esco/skill/1b73b2a7-aefc-49ef-8b30-b90ca7429984,asesorar a los clientes sobre materiales de construcción,"Brindar a los clientes consejos detallados sobre diversos materiales de construcción; recomendar un desarrollo sostenible y promover el uso de materiales verdes como la madera, la paja y el bambú; promover el reciclaje y el uso de materiales renovables o no tóxicos.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/1b94ad6c-c54d-4bdd-858d-81ebef51c5a4,materiales y componentes de calzado sostenibles,"Materiales y componentes inocuos para el medio ambiente, como el cuero, los materiales textiles y sintéticos, los materiales para suelas y entresuelas, los componentes diversos y los accesorios.
	",knowledge,sector-specific
http://data.europa.eu/esco/skill/1c4fa8a3-7f7e-4c63-a36c-89e4321774d6,identifique los cambios climáticos históricos,"Analizar muestras tomadas de núcleos de hielo, anillos de árboles, sedimentos, etc. con el fin de obtener información sobre los cambios climáticos producidos durante la historia de la Tierra y sus consecuencias para la vida en el planeta.",skill/competence,occupation-specific
http://data.europa.eu/esco/skill/1c9bb265-6ff7-428e-9a72-9c8df75178b8,evaluar el impacto de las actividades industriales,Analizar datos para estimar el impacto de las actividades industriales sobre la disponibilidad de recursos y la calidad de las aguas subterráneas.,skill/competence,cross-sector
http://data.europa.eu/esco/skill/1cf20c3c-027e-45f4-bad1-c91b98726d28,facilitar información sobre bombas de calor geotérmicas,"Proporcionar a las organizaciones y a los particulares que busquen métodos alternativos para suministrar energía a los edificios información sobre el coste, los beneficios y los aspectos negativos de la instalación y el uso de bombas de calor geotérmicas para servicios públicos, y qué debe tenerse en cuenta a la hora de plantearse la adquisición e instalación de bombas de calor geotérmicas.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/1d4ddf05-510a-424a-85d3-2305558665c5,realizar investigaciones para proyectos de energía marina,Llevar a cabo proyectos de investigación en el ámbito de la energía undimotriz y mareomotriz y desarrollar los proyectos desde su concepción hasta la entrega.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/1de91358-6ad3-4513-b975-396c61cf8858,asesorar sobre sistemas de ventilación a medida,"Investigar y asesorar sobre un sistema de ventilación que se ajuste a la demanda de energía, pero que también garantice una buena calidad del aire en el interior con arreglo a los niveles mínimos de calidad del aire en interiores. Estudiar formas alternativas de ventilación (p. ej., chimeneas de ventilación, utilizar el efecto chimenea o ventilación natural).
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/1e25d043-0307-4e50-8a19-9e7cce22caea,evaluar las necesidades de conservación,Evaluar y enumerar las necesidades de conservación/restauración en relación con el uso actual y el futuro uso previsto.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/1e3222fa-724d-41f0-9b0a-e88d1003cd35,llevar a cabo un estudio de viabilidad sobre la refrigeración solar por absorción,"Analizar y evaluar la viabilidad de aplicar la refrigeración solar. Llevar a cabo un estudio normalizado para estimar la demanda de refrigeración del edificio, los costes y los beneficios y analizar del ciclo de vida y realizar una investigación para respaldar el proceso de adopción de decisiones.
	",skill/competence,sector-specific
