dpto,rama_ciiu,empleo,periodo,ano,mes
18,96,4739.170961844,2022-02,2022,2
18,97,6129.699771757,2022-02,2022,2
18,99,71.448489909,2022-02,2022,2
19,1,245709.600613429,2022-02,2022,2
19,2,5968.9172674,2022-02,2022,2
19,10,10772.777085093001,2022-02,2022,2
19,11,1051.07960054,2022-02,2022,2
19,13,2811.840300556,2022-02,2022,2
19,14,3868.537963916,2022-02,2022,2
19,16,1396.368640942,2022-02,2022,2
19,17,6867.8367387,2022-02,2022,2
19,20,201.10515316,2022-02,2022,2
19,21,1515.09828502,2022-02,2022,2
19,22,110.02933266,2022-02,2022,2
19,23,2051.4847008300003,2022-02,2022,2
19,24,48.597796209,2022-02,2022,2
19,25,1959.937271737,2022-02,2022,2
19,31,3712.27469059,2022-02,2022,2
19,32,4989.10315482,2022-02,2022,2
19,35,812.75674953,2022-02,2022,2
19,36,319.678811329,2022-02,2022,2
19,38,3362.41655486,2022-02,2022,2
19,41,19536.490771978,2022-02,2022,2
19,42,510.140587414,2022-02,2022,2
19,43,3260.9109392670002,2022-02,2022,2
19,45,17888.524530543,2022-02,2022,2
19,46,19441.687479973,2022-02,2022,2
19,47,72780.607151901,2022-02,2022,2
19,49,17986.499984577,2022-02,2022,2
19,51,106.15282303,2022-02,2022,2
19,52,3763.3628323400003,2022-02,2022,2
19,53,1465.08970374,2022-02,2022,2
19,56,24945.994233848,2022-02,2022,2
19,59,134.07045208,2022-02,2022,2
19,60,124.52698972,2022-02,2022,2
19,61,1253.563137505,2022-02,2022,2
19,62,896.410611269,2022-02,2022,2
19,64,2072.324130177,2022-02,2022,2
19,65,1044.719043445,2022-02,2022,2
19,66,262.79199082,2022-02,2022,2
19,68,1687.610902815,2022-02,2022,2
19,69,5830.295600154001,2022-02,2022,2
19,70,541.298472679,2022-02,2022,2
19,71,943.573400302,2022-02,2022,2
19,72,178.76013615,2022-02,2022,2
19,73,651.784847036,2022-02,2022,2
19,74,438.401957542,2022-02,2022,2
19,77,148.85669498,2022-02,2022,2
19,78,259.40270309,2022-02,2022,2
19,79,149.43238767,2022-02,2022,2
19,80,590.41132103,2022-02,2022,2
19,81,7689.854592591,2022-02,2022,2
19,82,557.00910881,2022-02,2022,2
19,84,17982.372560003,2022-02,2022,2
19,85,28572.410753077,2022-02,2022,2
19,86,17263.631452538,2022-02,2022,2
19,87,124.89189256,2022-02,2022,2
19,88,4498.09599188,2022-02,2022,2
19,90,148.85669498,2022-02,2022,2
19,92,1697.2915368049999,2022-02,2022,2
19,93,245.0184718,2022-02,2022,2
19,94,3613.669794441,2022-02,2022,2
19,95,10772.750954033,2022-02,2022,2
19,96,13026.622879432,2022-02,2022,2
19,97,25935.343058855,2022-02,2022,2
20,1,67800.32906981,2022-02,2022,2
20,2,270.97769,2022-02,2022,2
20,5,1491.56516398,2022-02,2022,2
20,10,6180.92674342,2022-02,2022,2
20,11,238.41880372,2022-02,2022,2
20,13,195.13100628,2022-02,2022,2
20,14,3273.092136454,2022-02,2022,2
20,15,5550.67591369,2022-02,2022,2
20,16,854.84102868,2022-02,2022,2
20,18,80.412633336,2022-02,2022,2
20,20,607.35118917,2022-02,2022,2
20,21,225.54101988,2022-02,2022,2
20,23,1165.8368621,2022-02,2022,2
20,25,4986.90380499,2022-02,2022,2
